Nº;Fecha;Curso;Tipo;Subtipo;Días;Horas totales;Hora inicio;Zona;Instalación;Monitor/a;Precio socio €;Precio no socio €;Plazas totales;Plazas libres;Alistados totales;Alistados socios;Alistados no socios;% Ocupación;Temporada;Día semana;Franja
246;2024-09-16;Curso Patinaje en Cuestas Med/Avz;Cuestas;Med/avz;3;4.0;20:10;Retiro;Paseo De Coches;Iciar;29,0;42,0;10;6;4;4;0;40,0;2024-25;Lunes;Tarde
247;2024-09-16;Curso Patinaje en Cuestas Bás/Med;Cuestas;Bás/med;3;4.0;18:50;Retiro;Paseo De Coches;Iciar;29,0;42,0;10;8;2;2;0;20,0;2024-25;Lunes;Tarde
248;2024-09-16;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Retiro;Paseo De Coches;Marta Águila;29,0;42,0;10;2;8;0;8;80,0;2024-25;Lunes;Tarde
249;2024-09-16;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;18:50;Retiro;Paseo De Coches;Marta Águila;29,0;42,0;12;7;5;2;3;41,7;2024-25;Lunes;Tarde
250;2024-09-16;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;29,0;42,0;10;7;3;0;3;30,0;2024-25;Lunes;Tarde
251;2024-09-16;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;21,0;32,0;10;2;8;0;8;80,0;2024-25;Lunes;Tarde
252;2024-09-16;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene RodrÍguez;29,0;42,0;16;14;2;1;1;12,5;2024-25;Lunes;Tarde
253;2024-09-16;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;18:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;29,0;42,0;12;8;4;0;4;33,3;2024-25;Lunes;Tarde
254;2024-09-16;Curso Hockey Tecnificación;Hockey;Tecnificación;3;4.0;20:10;Retiro;Instalación Deportiva Retiro-Poeta;Javi;29,0;42,0;14;6;8;8;0;57,1;2024-25;Lunes;Tarde
255;2024-09-16;Curso Iniciación Hockey;Hockey;Iniciación;3;4.0;18:50;Retiro;Instalación Deportiva Retiro-Poeta;Javi;29,0;42,0;14;13;1;1;0;7,1;2024-25;Lunes;Tarde
256;2024-09-16;Curso Iniciación Hockey;Hockey;Iniciación;2;2.0;19:45;Alcobendas;Pista Hockey - C.D. Valdelasfuentes;Jose Luis;17,0;27,0;12;10;2;1;1;16,7;2024-25;Lunes;Tarde
257;2024-09-17;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;3;4.0;20:10;Retiro;Paseo De Coches;David Rivas;29,0;42,0;12;8;4;3;1;33,3;2024-25;Martes;Tarde
258;2024-09-17;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;4.0;18:50;Retiro;Paseo De Coches;David Rivas;29,0;42,0;12;6;6;5;1;50,0;2024-25;Martes;Tarde
259;2024-09-17;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;29,0;42,0;16;10;6;5;1;37,5;2024-25;Martes;Tarde
260;2024-09-17;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;4.0;18:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;29,0;42,0;16;12;4;2;2;25,0;2024-25;Martes;Tarde
261;2024-09-17;Curso Refuerzo Patinaje Experto 1;Refuerzo Adultos;Experto 1;3;4.0;20:10;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;29,0;42,0;14;8;6;6;0;42,9;2024-25;Martes;Tarde
262;2024-09-17;Curso Refuerzo Patinaje Avanzado;Refuerzo Adultos;Avanzado;3;4.0;18:50;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;29,0;42,0;14;7;7;6;1;50,0;2024-25;Martes;Tarde
263;2024-09-17;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:40;Barajas;Recinto Ferial;Vanesa;29,0;42,0;10;9;1;0;1;10,0;2024-25;Martes;Tarde
264;2024-09-17;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:30;Barajas;Recinto Ferial;Vanesa;21,0;32,0;10;4;6;0;6;60,0;2024-25;Martes;Tarde
265;2024-09-21;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:00;Retiro;Paseo De Coches;Marta Águila;17,0;27,0;10;10;0;0;0;0,0;2024-25;Sábado;Mañana
266;2024-09-21;Curso Iniciación Artístico;Otros;Curso Iniciación Artístico;1;2.0;10:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;17,0;27,0;14;7;7;7;0;50,0;2024-25;Sábado;Mañana
267;2024-09-21;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;2;3.0;09:30;Metropolitano;Parking Exterior;David Rivas;21,0;32,0;14;11;3;2;1;21,4;2024-25;Sábado;Mañana
268;2024-09-23;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;19:40;Madrid Río;Explanada Matadero;David Rivas;21,0;32,0;12;9;3;0;3;25,0;2024-25;Lunes;Tarde
269;2024-09-23;Curso Patinaje Básico Niños;Niños Básico 1;;2;2.0;18:30;Madrid Río;Explanada Matadero;David Rivas;15,0;22,0;12;11;1;0;1;8,3;2024-25;Lunes;Tarde
270;2024-09-24;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;19:40;Madrid Río;Explanada Matadero;Guadalupe;21,0;32,0;10;7;3;1;2;30,0;2024-25;Martes;Tarde
271;2024-09-24;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;18:30;Madrid Río;Explanada Matadero;Guadalupe;15,0;22,0;10;10;0;0;0;0,0;2024-25;Martes;Tarde
272;2024-09-25;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;17,0;27,0;16;15;1;1;0;6,2;2024-25;Miércoles;Tarde
273;2024-09-28;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:40;Retiro;Paseo De Coches;Oscar;15,0;22,0;10;2;8;0;8;80,0;2024-25;Sábado;Mañana
274;2024-09-28;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:00;Retiro;Paseo De Coches;Oscar;21,0;32,0;10;9;1;0;1;10,0;2024-25;Sábado;Mañana
275;2024-09-28;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;12:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;15,0;22,0;10;0;10;1;9;100,0;2024-25;Sábado;Mañana
276;2024-09-28;Curso Patinaje Básico Niños;Niños Básico 1;;2;2.0;11:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;15,0;22,0;12;2;10;2;8;83,3;2024-25;Sábado;Mañana
277;2024-09-28;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;21,0;32,0;10;7;3;0;3;30,0;2024-25;Sábado;Mañana
278;2024-09-28;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;21,0;32,0;12;9;3;0;3;25,0;2024-25;Sábado;Mañana
279;2024-10-04;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;35,0;43,0;16;15;1;0;1;6,2;2024-25;Viernes;Tarde
280;2024-10-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;43,0;43,0;10;10;0;0;0;0,0;2024-25;Viernes;Tarde
281;2024-10-04;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;33,0;33,0;10;5;5;0;5;50,0;2024-25;Viernes;Tarde
282;2024-10-05;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;33,0;33,0;10;2;8;0;8;80,0;2024-25;Sábado;Mañana
283;2024-10-05;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;43,0;43,0;10;3;7;0;7;70,0;2024-25;Sábado;Mañana
284;2024-10-06;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;Retiro;Paseo De Coches;David Rivas;33,0;33,0;10;1;9;0;9;90,0;2024-25;Domingo;Mañana
285;2024-10-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;Retiro;Paseo De Coches;David Rivas;43,0;43,0;10;3;7;0;7;70,0;2024-25;Domingo;Mañana
286;2024-10-06;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;15;1;1;0;6,2;2024-25;Domingo;Tarde
287;2024-10-13;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:30;Retiro;Paseo De Coches;Marta Águila;23,0;28,0;10;7;3;2;1;30,0;2024-25;Domingo;Mañana
288;2024-10-15;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;20:00;Retiro;Paseo De Coches;Marta Águila;35,0;43,0;16;15;1;0;1;6,2;2024-25;Martes;Tarde
289;2024-10-22;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Carolina;43,0;43,0;10;6;4;0;4;40,0;2024-25;Martes;Tarde
290;2024-10-23;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Madrid Río;Explanada Matadero;Guadalupe;43,0;43,0;10;7;3;0;3;30,0;2024-25;Miércoles;Tarde
291;2024-10-23;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:15;Madrid Río;Explanada Matadero;Guadalupe;33,0;33,0;10;4;6;0;6;60,0;2024-25;Miércoles;Tarde
292;2024-10-27;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;11:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;23,0;28,0;16;14;2;2;0;12,5;2024-25;Domingo;Mañana
293;2024-11-04;Curso Iniciación Hockey;Hockey;Iniciación;3;3.0;19:05;Retiro;Instalación Deportiva Retiro-Poeta;Javi;27,0;33,0;10;9;1;1;0;10,0;2024-25;Lunes;Tarde
294;2024-11-05;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:30;Barajas;Recinto Ferial;Vanesa;33,0;33,0;10;5;5;0;5;50,0;2024-25;Martes;Tarde
295;2024-11-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Carolina;43,0;43,0;10;9;1;0;1;10,0;2024-25;Miércoles;Tarde
296;2024-11-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;19:00;Madrid Río;Explanada Matadero;David Rivas;33,0;33,0;10;7;3;0;3;30,0;2024-25;Miércoles;Tarde
297;2024-11-06;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;Madrid Río;Explanada Matadero;David Rivas;33,0;33,0;10;10;0;0;0;0,0;2024-25;Miércoles;Tarde
298;2024-11-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;43,0;43,0;10;10;0;0;0;0,0;2024-25;Miércoles;Tarde
299;2024-11-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;43,0;43,0;10;9;1;0;1;10,0;2024-25;Jueves;Tarde
300;2024-11-08;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;35,0;43,0;16;14;2;1;1;12,5;2024-25;Viernes;Tarde
301;2024-11-08;Curso Iniciación Hockey Niños;Niños Disciplinas;Hockey;3;3.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Alex;27,0;33,0;14;11;3;3;0;21,4;2024-25;Viernes;Tarde
302;2024-11-08;Curso Iniciación Hockey;Hockey;Iniciación;3;4.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Marta Águila;35,0;43,0;10;10;0;0;0;0,0;2024-25;Viernes;Tarde
303;2024-11-09;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;Retiro;Paseo De Coches;Oscar;33,0;33,0;10;6;4;0;4;40,0;2024-25;Sábado;Mañana
304;2024-11-09;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;Retiro;Paseo De Coches;Oscar;43,0;43,0;10;1;9;0;9;90,0;2024-25;Sábado;Mañana
305;2024-11-10;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Jorjón;33,0;33,0;10;4;6;0;6;60,0;2024-25;Domingo;Mañana
306;2024-11-10;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Jorjón;43,0;43,0;10;6;4;0;4;40,0;2024-25;Domingo;Mañana
307;2024-11-10;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;9;7;7;0;43,8;2024-25;Domingo;Tarde
308;2024-11-24;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;11:00;Retiro;Paseo De Coches;Marta Águila;23,0;28,0;10;1;9;9;0;90,0;2024-25;Domingo;Mañana
309;2024-11-29;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;23,0;28,0;16;15;1;1;0;6,2;2024-25;Viernes;Tarde
310;2024-12-03;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;20:10;Retiro;Paseo De Coches;Marta Águila;35,0;43,0;16;14;2;2;0;12,5;2024-25;Martes;Tarde
311;2024-12-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Irene Díaz;43,0;43,0;10;10;0;0;0;0,0;2024-25;Miércoles;Tarde
312;2024-12-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;3.0;19:00;Madrid Río;Explanada Matadero;David Rivas;33,0;33,0;10;6;4;0;4;40,0;2024-25;Miércoles;Tarde
313;2024-12-04;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;Madrid Río;Explanada Matadero;David Rivas;33,0;33,0;10;9;1;0;1;10,0;2024-25;Miércoles;Tarde
314;2024-12-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;43,0;43,0;10;8;2;0;2;20,0;2024-25;Miércoles;Tarde
315;2024-12-05;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;43,0;43,0;10;9;1;0;1;10,0;2024-25;Jueves;Tarde
316;2024-12-14;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;12:00;Retiro;Paseo De Coches;David Rivas;22,0;22,0;10;8;2;0;2;20,0;2024-25;Sábado;Mañana
317;2024-12-14;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:20;Retiro;Paseo De Coches;David Rivas;33,0;33,0;10;5;5;0;5;50,0;2024-25;Sábado;Mañana
318;2024-12-14;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;22,0;22,0;10;10;0;0;0;0,0;2024-25;Sábado;Mañana
319;2024-12-14;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:20;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;33,0;33,0;10;9;1;0;1;10,0;2024-25;Sábado;Mañana
320;2024-12-21;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;11:00;San Sebastián de los Reyes;Parque De La Marina;Irene R;23,0;28,0;10;9;1;0;1;10,0;2024-25;Sábado;Mañana
321;2024-12-22;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;13;3;3;0;18,8;2024-25;Domingo;Tarde
322;2024-12-22;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;12:00;Barajas;Recinto Ferial;Vanesa;22,0;22,0;10;7;3;0;3;30,0;2024-25;Domingo;Mañana
323;2024-12-22;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:20;Barajas;Recinto Ferial;Vanesa;33,0;33,0;10;6;4;0;4;40,0;2024-25;Domingo;Mañana
324;2025-01-09;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;43,0;43,0;10;8;2;0;2;20,0;2024-25;Jueves;Tarde
325;2025-01-10;Curso Iniciación Hockey;Hockey;Iniciación;3;4.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Alex;35,0;43,0;12;7;5;5;0;41,7;2024-25;Viernes;Tarde
326;2025-01-10;Curso Iniciación Hockey Niños;Niños Disciplinas;Hockey;3;3.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Alex;27,0;33,0;12;4;8;7;1;66,7;2024-25;Viernes;Tarde
327;2025-01-11;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;Retiro;Paseo De Coches;David Rivas;33,0;33,0;12;12;0;0;0;0,0;2024-25;Sábado;Mañana
328;2025-01-11;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;Retiro;Paseo De Coches;David Rivas;43,0;43,0;10;2;8;0;8;80,0;2024-25;Sábado;Mañana
329;2025-01-11;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;33,0;33,0;10;0;10;0;10;100,0;2024-25;Sábado;Mañana
330;2025-01-12;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;Retiro;Paseo De Coches;David Rivas;33,0;33,0;10;1;9;0;9;90,0;2024-25;Domingo;Mañana
331;2025-01-12;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;Retiro;Paseo De Coches;David Rivas;43,0;43,0;10;6;4;0;4;40,0;2024-25;Domingo;Mañana
332;2025-01-12;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Susana13-Vanesa2;33,0;33,0;12;4;8;0;8;66,7;2024-25;Domingo;Mañana
333;2025-01-12;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;11:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Susana13-Vanesa2;43,0;43,0;10;4;6;0;6;60,0;2024-25;Domingo;Mañana
334;2025-01-12;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;11:00;Nuevos Ministerios;Azca;Marta Aguila;23,0;28,0;10;3;7;7;0;70,0;2024-25;Domingo;Mañana
335;2025-01-13;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:15;Madrid Río;Explanada Matadero;Guadalupe;43,0;43,0;8;2;6;0;6;75,0;2024-25;Lunes;Tarde
336;2025-01-13;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;Madrid Río;Explanada Matadero;Guadalupe;33,0;33,0;10;5;5;0;5;50,0;2024-25;Lunes;Tarde
337;2025-01-14;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Marta Águila;43,0;43,0;10;5;5;0;5;50,0;2024-25;Martes;Tarde
338;2025-01-14;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;Barajas;Recinto Ferial;Vanesa;33,0;33,0;10;5;5;0;5;50,0;2024-25;Martes;Tarde
339;2025-01-15;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;3.0;19:00;Madrid Río;Explanada Matadero;David Rivas;33,0;33,0;10;8;2;0;2;20,0;2024-25;Miércoles;Tarde
340;2025-01-18;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;33,0;33,0;10;8;2;0;2;20,0;2024-25;Sábado;Mañana
341;2025-01-18;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;11:00;San Sebastián de los Reyes;Parque De La Marina;Irene R;23,0;28,0;10;9;1;1;0;10,0;2024-25;Sábado;Mañana
342;2025-01-19;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;3;13;13;0;81,2;2024-25;Domingo;Tarde
343;2025-02-01;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;Retiro;Paseo De Coches;Jorjón;33,0;33,0;10;0;10;0;10;100,0;2024-25;Sábado;Mañana
344;2025-02-01;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;Retiro;Paseo De Coches;Jorjón;43,0;43,0;10;5;5;0;5;50,0;2024-25;Sábado;Mañana
345;2025-02-02;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;Retiro;Paseo De Coches;David Rivas;33,0;33,0;12;0;12;0;12;100,0;2024-25;Domingo;Mañana
346;2025-02-02;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;Retiro;Paseo De Coches;David Rivas;43,0;43,0;12;9;3;0;3;25,0;2024-25;Domingo;Mañana
347;2025-02-02;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;33,0;33,0;10;3;7;0;7;70,0;2024-25;Domingo;Mañana
348;2025-02-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;11:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa;43,0;43,0;10;2;8;0;8;80,0;2024-25;Domingo;Mañana
349;2025-02-02;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;2;3.0;11:30;Retiro;Instalación Deportiva Retiro-Poeta;Marta Águila;27,0;33,0;16;7;9;9;0;56,2;2024-25;Domingo;Mañana
350;2025-02-05;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Guadalupe;43,0;43,0;10;3;7;0;7;70,0;2024-25;Miércoles;Tarde
351;2025-02-05;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;43,0;43,0;10;10;0;0;0;0,0;2024-25;Miércoles;Tarde
352;2025-02-08;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;33,0;33,0;12;3;9;0;9;75,0;2024-25;Sábado;Mañana
353;2025-02-08;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;11:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;43,0;43,0;12;8;4;0;4;33,3;2024-25;Sábado;Mañana
354;2025-02-09;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:30;Retiro;Paseo De Coches;Iciar;23,0;28,0;10;7;3;3;0;30,0;2024-25;Domingo;Mañana
355;2025-02-11;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Paseo De Coches;Marta Águila;43,0;43,0;12;11;1;0;1;8,3;2024-25;Martes;Tarde
356;2025-02-11;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;Barajas;Recinto Ferial;Vanesa;33,0;33,0;12;8;4;0;4;33,3;2024-25;Martes;Tarde
357;2025-02-16;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;10:30;Nuevos Ministerios;Azca;Iciar;23,0;28,0;10;0;10;10;0;100,0;2024-25;Domingo;Mañana
358;2025-02-17;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:15;Madrid Río;Explanada Matadero;Guadalupe;43,0;43,0;10;5;5;0;5;50,0;2024-25;Lunes;Tarde
359;2025-02-17;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;Madrid Río;Explanada Matadero;Guadalupe;33,0;33,0;12;11;1;0;1;8,3;2024-25;Lunes;Tarde
360;2025-02-23;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;13;3;3;0;18,8;2024-25;Domingo;Tarde
361;2025-03-09;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:30;Retiro;Paseo De Coches;Marta Águila;23,0;28,0;10;3;7;7;0;70,0;2024-25;Domingo;Mañana
362;2025-03-11;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Marta Águila;43,0;43,0;10;8;2;0;2;20,0;2024-25;Martes;Tarde
363;2025-03-15;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;Retiro;Paseo De Coches;Jorge;33,0;33,0;12;2;10;0;10;83,3;2024-25;Sábado;Mañana
364;2025-03-15;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;Retiro;Paseo De Coches;Jorge;43,0;43,0;12;7;5;0;5;41,7;2024-25;Sábado;Mañana
365;2025-03-15;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo12-Irene3;33,0;33,0;10;4;6;0;6;60,0;2024-25;Sábado;Mañana
366;2025-03-15;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo12-Irene3;43,0;43,0;10;6;4;0;4;40,0;2024-25;Sábado;Mañana
367;2025-03-16;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;2;3.0;11:00;Retiro;Instalación Deportiva Retiro-Poeta;Marta Águila;27,0;33,0;16;14;2;2;0;12,5;2024-25;Domingo;Mañana
